"20-24,13.05,22.07,8.57,14.18,37.68,7.33,11.64,5.72,9.79,112.1"
"25-29,21.14,30.45,15.23,25.44,38.94,16.22,20.84,9.42,12.7,114.83"
"30-34,27.38,44.99,26.69,36.1,51.39,17.72,26.78,16.59,23.4,103.14"
"35-39,32.77,44.31,32.03,41.24,64.68,29.41,34.8,23.81,23.3,125.37"
"40-44,53.17,61.07,48.73,44.53,101.5,37.77,49.91,34.04,39.9,158.18"
"45-49,61.2,82.49,70.47,67.58,165.57,55.79,75.69,49.06,54.12,232.2"
"50-54,75.19,91.4,71.11,65.09,266.1,88.66,95.82,70.32,60.31,372.46"
"55-59,89.69,106.81,80.01,73.01,429.77,127.45,116.35,89.78,82.2,637.3"
"60-64,79.87,117.15,85.87,73.78,675.84,150.31,161.28,102.88,108.7,1074.51"
"65-69,117.82,130.65,101.78,95.8,1101,184.56,197.11,138.76,120.67,1843.1"
"70-74,124.84,152.85,117.24,97.26,1872.51,223.62,239.07,166.16,171.58,3180.72"
"75-79,141.09,161.42,122.37,107.45,3248.98,260.94,281.62,214.05,190.06,5288.09"
"80-84,163.27,174.31,166.46,112.9,5929.85,307.99,308.91,254.41,236.31,8937.2"
"85+,154.04,176.49,139.02,140.24,14712.65,323.24,337.96,239.09,240.37,17857.8"
